CountryCode,iyear,nkill,nattacks
CYP,1973,1.0,3
CYP,1975,0.0,2
CYP,1977,0.0,1
CYP,1978,16.0,2
CYP,1979,2.0,5
CYP,1980,3.0,1
CYP,1981,0.0,3
CYP,1982,0.0,1
CYP,1983,0.0,2
CYP,1984,6.0,7
CYP,1985,3.0,7
CYP,1986,1.0,3
CYP,1987,1.0,10
CYP,1988,6.0,5
CYP,1989,1.0,6
CYP,1990,0.0,11
CYP,1991,0.0,11
CYP,1992,0.0,6
CYP,1994,2.0,6
CYP,1995,0.0,3
CYP,1996,3.0,10
CYP,1998,0.0,1
CYP,1999,0.0,1
CYP,2000,0.0,2
CYP,2001,0.0,1
CYP,2004,0.0,1
CYP,2007,0.0,1
CYP,2012,0.0,1
CYP,2013,0.0,2
CYP,2014,0.0,2
CYP,2016,0.0,2
CZE,1972,26.0,1
CZE,1989,0.0,4
CZE,1990,0.0,1
CZE,1991,1.0,1
CZE,1992,0.0,3
CZE,1994,0.0,1
CZE,1995,1.0,3
CZE,1996,2.0,3
CZE,1997,1.0,4
CZE,2001,0.0,1
CZE,2003,0.0,1
CZE,2008,0.0,2
CZE,2009,0.0,1
CZE,2011,0.0,1
CZE,2013,1.0,1
CZE,2014,1.0,5
CZE,2015,0.0,4
CZE,2016,0.0,2
CZE,2017,0.0,3
DEU,1970,8.0,32
DEU,1971,0.0,17
DEU,1972,23.0,24
DEU,1973,1.0,27
DEU,1974,2.0,29
DEU,1975,1.0,35
DEU,1976,4.0,50
DEU,1977,6.0,41
DEU,1978,0.0,20
DEU,1979,0.0,17
DEU,1980,17.0,20
DEU,1981,2.0,31
DEU,1982,5.0,30
DEU,1983,2.0,6
DEU,1984,0.0,22
DEU,1985,9.0,57
DEU,1986,10.0,49
DEU,1987,2.0,20
DEU,1988,1.0,18
DEU,1989,5.0,22
DEU,1990,1.0,13
DEU,1991,10.0,65
DEU,1992,17.0,156
DEU,1994,2.0,79
DEU,1995,10.0,147
DEU,1996,1.0,52
DEU,1997,0.0,12
DEU,1998,0.0,6
DEU,1999,3.0,13
DEU,2000,1.0,8
DEU,2001,3.0,8
DEU,2002,0.0,3
DEU,2003,0.0,2
DEU,2004,1.0,3
DEU,2005,2.0,3
DEU,2006,2.0,4
DEU,2007,1.0,3
DEU,2008,0.0,3
DEU,2009,0.0,4
DEU,2010,0.0,1
DEU,2011,2.0,8
DEU,2012,0.0,5
DEU,2014,0.0,13
DEU,2015,1.0,66
DEU,2016,27.0,45
DEU,2017,1.0,27
DEU,2018,0.0,22
DEU,2019,3.0,16
DJI,1977,1.0,1
DJI,1979,4.0,1
DJI,1987,10.0,1
DJI,1988,0.0,2
DJI,1990,1.0,1
DJI,1991,8.0,1
DJI,1992,228.0,6
DJI,1994,6.0,2
DJI,1995,0.0,2
DJI,1997,11.0,1
DJI,2004,0.0,1
DJI,2014,5.0,1
DJI,2015,0.0,1
DJI,2017,0.0,1
DMA,1981,3.0,2
DMA,1997,0.0,1
DNK,1978,0.0,1
DNK,1979,0.0,3
DNK,1980,0.0,1
DNK,1981,0.0,6
DNK,1985,1.0,4
DNK,1986,0.0,2
DNK,1987,0.0,2
DNK,1988,0.0,1
DNK,1989,0.0,1
DNK,1991,0.0,1
DNK,1992,1.0,4
DNK,1995,0.0,6
DNK,1999,0.0,1
DNK,2008,0.0,1
DNK,2010,0.0,1
DNK,2013,0.0,1
DNK,2015,2.0,5
DNK,2016,1.0,1
DNK,2018,0.0,1
DNK,2019,0.0,2
DOM,1970,1.0,2
DOM,1971,0.0,3
DOM,1973,0.0,3
DOM,1974,0.0,2
DOM,1978,3.0,1
DOM,1979,1.0,2
DOM,1980,1.0,1
DOM,1982,5.0,2
DOM,1987,7.0,15
DOM,1988,0.0,2
DOM,1989,1.0,11
DOM,1990,3.0,2
DOM,1991,1.0,8
DOM,1992,1.0,11
DOM,1994,2.0,7
DOM,1996,3.0,3
DOM,1997,3.0,12
DOM,2013,0.0,1
DOM,2014,0.0,1
DOM,2017,2.0,1
DZA,1972,0.0,1
DZA,1976,0.0,1
DZA,1978,0.0,1
DZA,1979,0.0,1
DZA,1990,3.0,2
DZA,1991,42.0,30
DZA,1992,236.0,215
DZA,1994,500.0,227
DZA,1995,418.0,185
DZA,1996,529.0,129
DZA,1997,4266.0,344
DZA,1998,952.0,151
DZA,1999,467.0,106
DZA,2000,528.0,138
DZA,2001,624.0,113
DZA,2002,615.0,132
DZA,2003,269.0,75
DZA,2004,166.0,67
DZA,2005,228.0,104
DZA,2006,185.0,152
DZA,2007,241.0,124
DZA,2008,249.0,107
DZA,2009,204.0,108
DZA,2010,109.0,100
DZA,2011,25.0,15
DZA,2012,30.0,41
DZA,2013,101.0,22
DZA,2014,37.0,13
DZA,2015,20.0,15
DZA,2016,9.0,9
DZA,2017,12.0,14
DZA,2018,19.0,7
ECU,1973,0.0,1
ECU,1974,0.0,3
ECU,1976,1.0,2
ECU,1977,1.0,7
ECU,1978,2.0,11
ECU,1979,0.0,2
ECU,1980,2.0,2
ECU,1981,2.0,2
ECU,1982,1.0,3
ECU,1983,0.0,10
ECU,1984,1.0,24
ECU,1985,4.0,12
ECU,1986,13.0,8
ECU,1987,0.0,6
ECU,1988,4.0,9
ECU,1989,9.0,14
ECU,1990,3.0,8
ECU,1991,0.0,17
ECU,1992,2.0,23
ECU,1994,0.0,6
ECU,1995,4.0,6
ECU,1996,2.0,5
ECU,1997,1.0,4
ECU,1998,0.0,3
ECU,1999,0.0,2
ECU,2000,0.0,4
ECU,2001,0.0,5
ECU,2002,0.0,2
ECU,2003,0.0,4
ECU,2004,0.0,2
ECU,2008,0.0,2
ECU,2009,0.0,1
ECU,2011,0.0,1
ECU,2012,0.0,1
ECU,2013,1.0,2
ECU,2015,0.0,1
ECU,2016,1.0,6
ECU,2017,0.0,3
ECU,2018,10.0,11
ECU,2019,2.0,3
EGY,1970,0.0,1
EGY,1971,1.0,1
EGY,1972,0.0,1
EGY,1977,1.0,1
EGY,1978,2.0,2
EGY,1979,1.0,1
